id,fiscal_service_id,document_code,document_name,is_mandatory,applies_to,file_types,max_size_mb,validity_months,display_order,created_at
RD-00018,T-006,T-006-DOC-018,Documento 18,True,both,"{pdf,jpg,png}",10,24,18,2025-09-29T11:00:28.893598Z
RD-00019,T-007,T-007-DOC-019,"Documento de identidad, Justificación de necesidad",True,both,"{jpg,png,pdf}",10,120,19,2025-09-29T11:00:28.893598Z
RD-00020,T-007,T-007-DOC-020,Documento 20,True,both,"{pdf,jpg,png}",10,24,20,2025-09-29T11:00:28.893598Z
RD-00021,T-007,T-007-DOC-021,Documento 21,True,both,"{pdf,jpg,png}",10,24,21,2025-09-29T11:00:28.893598Z
RD-00022,T-008,T-008-DOC-022,"Documento original, Documento de identidad",True,both,"{jpg,png,pdf}",10,120,22,2025-09-29T11:00:28.893598Z
RD-00023,T-008,T-008-DOC-023,Documento 23,True,both,"{pdf,jpg,png}",10,24,23,2025-09-29T11:00:28.893598Z
RD-00024,T-008,T-008-DOC-024,Documento 24,True,both,"{pdf,jpg,png}",10,24,24,2025-09-29T11:00:28.893598Z
RD-00025,T-009,T-009-DOC-025,"Escrito notariado original, Documento de identidad, Poder notarial si aplica",True,both,"{jpg,png,pdf}",10,120,25,2025-09-29T11:00:28.893598Z
RD-00026,T-009,T-009-DOC-026,Documento 26,True,both,"{pdf,jpg,png}",10,24,26,2025-09-29T11:00:28.893598Z
RD-00027,T-009,T-009-DOC-027,Documento 27,True,both,"{pdf,jpg,png}",10,24,27,2025-09-29T11:00:28.893598Z
RD-00028,T-010,T-010-DOC-028,"Diploma o título original, Documento de identidad, Certificado de estudios",True,both,"{jpg,png,pdf}",10,120,28,2025-09-29T11:00:28.893598Z
RD-00029,T-010,T-010-DOC-029,Documento 29,True,both,"{pdf,jpg,png}",10,24,29,2025-09-29T11:00:28.893598Z
RD-00030,T-010,T-010-DOC-030,Documento 30,True,both,"{pdf,jpg,png}",10,24,30,2025-09-29T11:00:28.893598Z
RD-00031,T-011,T-011-DOC-031,"Documento mercantil original, Documento de identidad, Documentación comercial adicional",True,both,"{jpg,png,pdf}",10,120,31,2025-09-29T11:00:28.893598Z
RD-00032,T-011,T-011-DOC-032,Documento 32,True,both,"{pdf,jpg,png}",10,24,32,2025-09-29T11:00:28.893598Z
RD-00033,T-011,T-011-DOC-033,Documento 33,True,both,"{pdf,jpg,png}",10,24,33,2025-09-29T11:00:28.893598Z
RD-00034,T-012,T-012-DOC-034,"Documento de identidad, Fotografía, Comprobante de pago",True,both,"{jpg,png,pdf}",10,120,34,2025-09-29T11:00:28.893598Z
RD-00035,T-012,T-012-DOC-035,Documento 35,True,both,"{pdf,jpg,png}",10,24,35,2025-09-29T11:00:28.893598Z
RD-00036,T-012,T-012-DOC-036,Documento 36,True,both,"{pdf,jpg,png}",10,24,36,2025-09-29T11:00:28.893598Z
RD-00037,T-013,T-013-DOC-037,"Pasaporte actual, Documento de identidad, Fotografía",True,both,"{jpg,png,pdf}",10,120,37,2025-09-29T11:00:28.893598Z
RD-00038,T-013,T-013-DOC-038,Documento 38,True,both,"{pdf,jpg,png}",10,24,38,2025-09-29T11:00:28.893598Z
RD-00039,T-013,T-013-DOC-039,Documento 39,True,both,"{pdf,jpg,png}",10,24,39,2025-09-29T11:00:28.893598Z
RD-00040,T-014,T-014-DOC-040,"Documento de identidad, Comprobante de registro consular",True,both,"{jpg,png,pdf}",10,120,40,2025-09-29T11:00:28.893598Z
RD-00041,T-014,T-014-DOC-041,Documento 41,True,both,"{pdf,jpg,png}",10,24,41,2025-09-29T11:00:28.893598Z
RD-00042,T-014,T-014-DOC-042,Documento 42,True,both,"{pdf,jpg,png}",10,24,42,2025-09-29T11:00:28.893598Z
RD-00043,T-015,T-015-DOC-043,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,43,2025-09-29T11:00:28.893598Z
RD-00044,T-015,T-015-DOC-044,Documento 44,True,both,"{pdf,jpg,png}",10,24,44,2025-09-29T11:00:28.893598Z
RD-00045,T-015,T-015-DOC-045,Documento 45,True,both,"{pdf,jpg,png}",10,24,45,2025-09-29T11:00:28.893598Z
RD-00046,T-016,T-016-DOC-046,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,46,2025-09-29T11:00:28.893598Z
RD-00047,T-016,T-016-DOC-047,Documento 47,True,both,"{pdf,jpg,png}",10,24,47,2025-09-29T11:00:28.893598Z
RD-00048,T-016,T-016-DOC-048,Documento 48,True,both,"{pdf,jpg,png}",10,24,48,2025-09-29T11:00:28.893598Z
RD-00049,T-017,T-017-DOC-049,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,49,2025-09-29T11:00:28.893598Z
RD-00050,T-017,T-017-DOC-050,Documento 50,True,both,"{pdf,jpg,png}",10,24,50,2025-09-29T11:00:28.893598Z
RD-00051,T-017,T-017-DOC-051,Documento 51,True,both,"{pdf,jpg,png}",10,24,51,2025-09-29T11:00:28.893598Z
RD-00052,T-018,T-018-DOC-052,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,52,2025-09-29T11:00:28.893598Z
RD-00053,T-018,T-018-DOC-053,Documento 53,True,both,"{pdf,jpg,png}",10,24,53,2025-09-29T11:00:28.893598Z
RD-00054,T-018,T-018-DOC-054,Documento 54,True,both,"{pdf,jpg,png}",10,24,54,2025-09-29T11:00:28.893598Z
RD-00055,T-019,T-019-DOC-055,"Documentación de la aeronave, Certificado de peso detallado",True,both,{pdf},10,12,55,2025-09-29T11:00:28.893598Z
RD-00056,T-019,T-019-DOC-056,Documento 56,True,both,"{pdf,jpg,png}",10,24,56,2025-09-29T11:00:28.893598Z
RD-00057,T-019,T-019-DOC-057,Documento 57,True,both,"{pdf,jpg,png}",10,24,57,2025-09-29T11:00:28.893598Z
RD-00058,T-020,T-020-DOC-058,"Certificado de aeronave privada, Documentación de turismo",True,both,{pdf},10,12,58,2025-09-29T11:00:28.893598Z
RD-00059,T-020,T-020-DOC-059,Documento 59,True,both,"{pdf,jpg,png}",10,24,59,2025-09-29T11:00:28.893598Z
RD-00060,T-020,T-020-DOC-060,Documento 60,True,both,"{pdf,jpg,png}",10,24,60,2025-09-29T11:00:28.893598Z
RD-00061,T-021,T-021-DOC-061,"Certificado de aeronave, Documentación de helicóptero",True,both,{pdf},10,12,61,2025-09-29T11:00:28.893598Z
RD-00062,T-021,T-021-DOC-062,Documento 62,True,both,"{pdf,jpg,png}",10,24,62,2025-09-29T11:00:28.893598Z
RD-00063,T-021,T-021-DOC-063,Documento 63,True,both,"{pdf,jpg,png}",10,24,63,2025-09-29T11:00:28.893598Z
RD-00064,T-022,T-022-DOC-064,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,64,2025-09-29T11:00:28.893598Z
RD-00065,T-022,T-022-DOC-065,Documento 65,True,both,"{pdf,jpg,png}",10,24,65,2025-09-29T11:00:28.893598Z
RD-00066,T-022,T-022-DOC-066,Documento 66,True,both,"{pdf,jpg,png}",10,24,66,2025-09-29T11:00:28.893598Z
RD-00067,T-023,T-023-DOC-067,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,67,2025-09-29T11:00:28.893598Z
RD-00068,T-023,T-023-DOC-068,Documento 68,True,both,"{pdf,jpg,png}",10,24,68,2025-09-29T11:00:28.893598Z
RD-00069,T-023,T-023-DOC-069,Documento 69,True,both,"{pdf,jpg,png}",10,24,69,2025-09-29T11:00:28.893598Z
RD-00070,T-024,T-024-DOC-070,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,70,2025-09-29T11:00:28.893598Z
RD-00071,T-024,T-024-DOC-071,Documento 71,True,both,"{pdf,jpg,png}",10,24,71,2025-09-29T11:00:28.893598Z
RD-00072,T-024,T-024-DOC-072,Documento 72,True,both,"{pdf,jpg,png}",10,24,72,2025-09-29T11:00:28.893598Z
RD-00073,T-025,T-025-DOC-073,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,73,2025-09-29T11:00:28.893598Z
RD-00074,T-025,T-025-DOC-074,Documento 74,True,both,"{pdf,jpg,png}",10,24,74,2025-09-29T11:00:28.893598Z
RD-00075,T-025,T-025-DOC-075,Documento 75,True,both,"{pdf,jpg,png}",10,24,75,2025-09-29T11:00:28.893598Z
RD-00076,T-026,T-026-DOC-076,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,76,2025-09-29T11:00:28.893598Z
RD-00077,T-026,T-026-DOC-077,Documento 77,True,both,"{pdf,jpg,png}",10,24,77,2025-09-29T11:00:28.893598Z
RD-00078,T-026,T-026-DOC-078,Documento 78,True,both,"{pdf,jpg,png}",10,24,78,2025-09-29T11:00:28.893598Z
RD-00079,T-027,T-027-DOC-079,"Documentación de la aeronave, Certificado de peso",True,both,{pdf},10,12,79,2025-09-29T11:00:28.893598Z
RD-00080,T-027,T-027-DOC-080,Documento 80,True,both,"{pdf,jpg,png}",10,24,80,2025-09-29T11:00:28.893598Z
RD-00081,T-027,T-027-DOC-081,Documento 81,True,both,"{pdf,jpg,png}",10,24,81,2025-09-29T11:00:28.893598Z
RD-00082,T-028,T-028-DOC-082,"Documentación de la aeronave, Certificado de peso detallado",True,both,{pdf},10,12,82,2025-09-29T11:00:28.893598Z
RD-00083,T-028,T-028-DOC-083,Documento 83,True,both,"{pdf,jpg,png}",10,24,83,2025-09-29T11:00:28.893598Z
RD-00084,T-028,T-028-DOC-084,Documento 84,True,both,"{pdf,jpg,png}",10,24,84,2025-09-29T11:00:28.893598Z
RD-00085,T-029,T-029-DOC-085,"Documento de registro, Certificado de peso",True,both,{pdf},10,12,85,2025-09-29T11:00:28.893598Z
RD-00086,T-029,T-029-DOC-086,Documento 86,True,both,"{pdf,jpg,png}",10,24,86,2025-09-29T11:00:28.893598Z
RD-00087,T-029,T-029-DOC-087,Documento 87,True,both,"{pdf,jpg,png}",10,24,87,2025-09-29T11:00:28.893598Z
RD-00088,T-030,T-030-DOC-088,"Documentación de propiedad, Identificación del propietario",True,both,"{jpg,png,pdf}",10,120,88,2025-09-29T11:00:28.893598Z
RD-00089,T-030,T-030-DOC-089,Documento 89,True,both,"{pdf,jpg,png}",10,24,89,2025-09-29T11:00:28.893598Z
RD-00090,T-030,T-030-DOC-090,Documento 90,True,both,"{pdf,jpg,png}",10,24,90,2025-09-29T11:00:28.893598Z
RD-00091,T-031,T-031-DOC-091,"Solicitud de matrícula temporal, Documentación provisional de aeronave, Comprobante de trámite",True,both,"{pdf,jpg,png}",10,6,91,2025-09-29T11:00:28.893598Z
RD-00092,T-031,T-031-DOC-092,Documento 92,True,both,"{pdf,jpg,png}",10,24,92,2025-09-29T11:00:28.893598Z
RD-00093,T-031,T-031-DOC-093,Documento 93,True,both,"{pdf,jpg,png}",10,24,93,2025-09-29T11:00:28.893598Z
RD-00094,T-032,T-032-DOC-094,"Certificado temporal vigente, Documentación actualizada de aeronave, Comprobante de pago",True,both,{pdf},10,12,94,2025-09-29T11:00:28.893598Z
RD-00095,T-032,T-032-DOC-095,Documento 95,True,both,"{pdf,jpg,png}",10,24,95,2025-09-29T11:00:28.893598Z
RD-00096,T-032,T-032-DOC-096,Documento 96,True,both,"{pdf,jpg,png}",10,24,96,2025-09-29T11:00:28.893598Z
RD-00097,T-033,T-033-DOC-097,"Certificado original, Declaración de pérdida, Documento de identidad, Comprobante de pago",True,both,"{jpg,png,pdf}",10,120,97,2025-09-29T11:00:28.893598Z
RD-00098,T-033,T-033-DOC-098,Documento 98,True,both,"{pdf,jpg,png}",10,24,98,2025-09-29T11:00:28.893598Z
RD-00099,T-033,T-033-DOC-099,Documento 99,True,both,"{pdf,jpg,png}",10,24,99,2025-09-29T11:00:28.893598Z
RD-00100,T-034,T-034-DOC-100,"Documento de transferencia, Certificado de matrícula actual, Documento de identidad del nuevo propietario, Contrato de compraventa",True,both,"{jpg,png,pdf}",10,120,100,2025-09-29T11:00:28.893598Z
RD-00101,T-034,T-034-DOC-101,Documento 101,True,both,"{pdf,jpg,png}",10,24,101,2025-09-29T11:00:28.893598Z
RD-00102,T-034,T-034-DOC-102,Documento 102,True,both,"{pdf,jpg,png}",10,24,102,2025-09-29T11:00:28.893598Z
RD-00103,T-035,T-035-DOC-103,"Documento de hipoteca, Certificado de matrícula, Documento de identidad, Comprobante de pago",True,both,"{jpg,png,pdf}",10,120,103,2025-09-29T11:00:28.893598Z
RD-00104,T-035,T-035-DOC-104,Documento 104,True,both,"{pdf,jpg,png}",10,24,104,2025-09-29T11:00:28.893598Z
RD-00105,T-035,T-035-DOC-105,Documento 105,True,both,"{pdf,jpg,png}",10,24,105,2025-09-29T11:00:28.893598Z
RD-00106,T-036,T-036-DOC-106,"Documento original del registro, Documento de identidad, Comprobante de solicitud",True,both,"{jpg,png,pdf}",10,120,106,2025-09-29T11:00:28.893598Z
RD-00107,T-036,T-036-DOC-107,Documento 107,True,both,"{pdf,jpg,png}",10,24,107,2025-09-29T11:00:28.893598Z
RD-00108,T-036,T-036-DOC-108,Documento 108,True,both,"{pdf,jpg,png}",10,24,108,2025-09-29T11:00:28.893598Z
RD-00109,T-037,T-037-DOC-109,"Certificado original de aeronavegabilidad, Documentación técnica de la aeronave, Historial de mantenimiento",True,both,{pdf},10,12,109,2025-09-29T11:00:28.893598Z
RD-00110,T-037,T-037-DOC-110,Documento 110,True,both,"{pdf,jpg,png}",10,24,110,2025-09-29T11:00:28.893598Z
RD-00111,T-037,T-037-DOC-111,Documento 111,True,both,"{pdf,jpg,png}",10,24,111,2025-09-29T11:00:28.893598Z
RD-00112,T-038,T-038-DOC-112,"Documentación especial de la aeronave, Informe técnico detallado, Justificación de condición especial",True,both,"{pdf,jpg,png}",10,24,112,2025-09-29T11:00:28.893598Z
RD-00113,T-038,T-038-DOC-113,Documento 113,True,both,"{pdf,jpg,png}",10,24,113,2025-09-29T11:00:28.893598Z
RD-00114,T-038,T-038-DOC-114,Documento 114,True,both,"{pdf,jpg,png}",10,24,114,2025-09-29T11:00:28.893598Z
RD-00115,T-039,T-039-DOC-115,"Plan de vuelo detallado, Documentación de la aeronave, Certificados de seguridad",True,both,{pdf},10,12,115,2025-09-29T11:00:28.893598Z
RD-00116,T-039,T-039-DOC-116,Documento 116,True,both,"{pdf,jpg,png}",10,24,116,2025-09-29T11:00:28.893598Z
RD-00117,T-039,T-039-DOC-117,Documento 117,True,both,"{pdf,jpg,png}",10,24,117,2025-09-29T11:00:28.893598Z
RD-00118,T-040,T-040-DOC-118,"Contrato de locación original, Documentación de la aeronave, Identificación de las partes",True,both,"{jpg,png,pdf}",10,120,118,2025-09-29T11:00:28.893598Z
RD-00119,T-040,T-040-DOC-119,Documento 119,True,both,"{pdf,jpg,png}",10,24,119,2025-09-29T11:00:28.893598Z
RD-00120,T-040,T-040-DOC-120,Documento 120,True,both,"{pdf,jpg,png}",10,24,120,2025-09-29T11:00:28.893598Z
RD-00121,T-041,T-041-DOC-121,"Documento legal original, Certificado de propiedad de aeronave, Tasación del valor",True,both,{pdf},10,12,121,2025-09-29T11:00:28.893598Z
RD-00122,T-041,T-041-DOC-122,Documento 122,True,both,"{pdf,jpg,png}",10,24,122,2025-09-29T11:00:28.893598Z
RD-00123,T-041,T-041-DOC-123,Documento 123,True,both,"{pdf,jpg,png}",10,24,123,2025-09-29T11:00:28.893598Z
RD-00124,T-042,T-042-DOC-124,"Certificado de aeronavegabilidad extranjero original, Documentación técnica completa, Historial de mantenimiento",True,both,{pdf},10,12,124,2025-09-29T11:00:28.893598Z
RD-00125,T-042,T-042-DOC-125,Documento 125,True,both,"{pdf,jpg,png}",10,24,125,2025-09-29T11:00:28.893598Z
RD-00126,T-042,T-042-DOC-126,Documento 126,True,both,"{pdf,jpg,png}",10,24,126,2025-09-29T11:00:28.893598Z
RD-00127,T-043,T-043-DOC-127,"Documentación técnica de instalación radioeléctrica, Certificado de calibración, Plano de instalación",True,both,{pdf},10,12,127,2025-09-29T11:00:28.893598Z
RD-00128,T-043,T-043-DOC-128,Documento 128,True,both,"{pdf,jpg,png}",10,24,128,2025-09-29T11:00:28.893598Z
RD-00129,T-043,T-043-DOC-129,Documento 129,True,both,"{pdf,jpg,png}",10,24,129,2025-09-29T11:00:28.893598Z
RD-00130,T-044,T-044-DOC-130,"Informe de niveles de ruido, Documentación técnica de la aeronave, Certificado de fabricante",True,both,{pdf},10,12,130,2025-09-29T11:00:28.893598Z
RD-00131,T-044,T-044-DOC-131,Documento 131,True,both,"{pdf,jpg,png}",10,24,131,2025-09-29T11:00:28.893598Z
RD-00132,T-044,T-044-DOC-132,Documento 132,True,both,"{pdf,jpg,png}",10,24,132,2025-09-29T11:00:28.893598Z
RD-00133,T-045,T-045-DOC-133,"Documentación técnica de la aeronave, Certificado de capacidades especiales, Plan de vuelo detallado",True,both,{pdf},10,12,133,2025-09-29T11:00:28.893598Z
RD-00134,T-045,T-045-DOC-134,Documento 134,True,both,"{pdf,jpg,png}",10,24,134,2025-09-29T11:00:28.893598Z
RD-00135,T-045,T-045-DOC-135,Documento 135,True,both,"{pdf,jpg,png}",10,24,135,2025-09-29T11:00:28.893598Z
RD-00136,T-046,T-046-DOC-136,"Plano de terreno, Documentación de propiedad, Certificado de uso de suelo",True,both,{pdf},10,12,136,2025-09-29T11:00:28.893598Z
RD-00137,T-046,T-046-DOC-137,Documento 137,True,both,"{pdf,jpg,png}",10,24,137,2025-09-29T11:00:28.893598Z
RD-00138,T-046,T-046-DOC-138,Documento 138,True,both,"{pdf,jpg,png}",10,24,138,2025-09-29T11:00:28.893598Z
RD-00139,T-047,T-047-DOC-139,"Plano de terreno, Documentación de propiedad, Certificado de zonificación",True,both,{pdf},10,12,139,2025-09-29T11:00:28.893598Z
RD-00140,T-047,T-047-DOC-140,Documento 140,True,both,"{pdf,jpg,png}",10,24,140,2025-09-29T11:00:28.893598Z
RD-00141,T-047,T-047-DOC-141,Documento 141,True,both,"{pdf,jpg,png}",10,24,141,2025-09-29T11:00:28.893598Z
RD-00142,T-048,T-048-DOC-142,"Plan de vuelo, Documentación de la aeronave, Certificado de operación",True,both,{pdf},10,12,142,2025-09-29T11:00:28.893598Z
RD-00143,T-048,T-048-DOC-143,Documento 143,True,both,"{pdf,jpg,png}",10,24,143,2025-09-29T11:00:28.893598Z
RD-00144,T-048,T-048-DOC-144,Documento 144,True,both,"{pdf,jpg,png}",10,24,144,2025-09-29T11:00:28.893598Z
RD-00145,T-049,T-049-DOC-145,"Plan de ruta, Documentación de la aeronave, Seguros de vuelo",True,both,"{pdf,jpg,png}",10,24,145,2025-09-29T11:00:28.893598Z
RD-00146,T-049,T-049-DOC-146,Documento 146,True,both,"{pdf,jpg,png}",10,24,146,2025-09-29T11:00:28.893598Z
RD-00147,T-049,T-049-DOC-147,Documento 147,True,both,"{pdf,jpg,png}",10,24,147,2025-09-29T11:00:28.893598Z
RD-00148,T-050,T-050-DOC-148,"Planos topográficos, Documentación técnica, Informes previos",True,both,"{pdf,jpg,png}",10,24,148,2025-09-29T11:00:28.893598Z
RD-00149,T-050,T-050-DOC-149,Documento 149,True,both,"{pdf,jpg,png}",10,24,149,2025-09-29T11:00:28.893598Z
RD-00150,T-050,T-050-DOC-150,Documento 150,True,both,"{pdf,jpg,png}",10,24,150,2025-09-29T11:00:28.893598Z
RD-00151,T-051,T-051-DOC-151,"Documentación base, Información técnica, Certificados de referencia",True,both,{pdf},10,12,151,2025-09-29T11:00:28.893598Z
RD-00152,T-051,T-051-DOC-152,Documento 152,True,both,"{pdf,jpg,png}",10,24,152,2025-09-29T11:00:28.893598Z
RD-00153,T-051,T-051-DOC-153,Documento 153,True,both,"{pdf,jpg,png}",10,24,153,2025-09-29T11:00:28.893598Z
RD-00154,T-052,T-052-DOC-154,"Documentación específica, Certificados relacionados, Informes de respaldo",True,both,{pdf},10,12,154,2025-09-29T11:00:28.893598Z
RD-00155,T-052,T-052-DOC-155,Documento 155,True,both,"{pdf,jpg,png}",10,24,155,2025-09-29T11:00:28.893598Z
RD-00156,T-052,T-052-DOC-156,Documento 156,True,both,"{pdf,jpg,png}",10,24,156,2025-09-29T11:00:28.893598Z
RD-00157,T-053,T-053-DOC-157,"Boleto de entrada, Documento de identificación",True,both,"{jpg,png,pdf}",10,120,157,2025-09-29T11:00:28.893598Z
RD-00158,T-053,T-053-DOC-158,Documento 158,True,both,"{pdf,jpg,png}",10,24,158,2025-09-29T11:00:28.893598Z
RD-00159,T-053,T-053-DOC-159,Documento 159,True,both,"{pdf,jpg,png}",10,24,159,2025-09-29T11:00:28.893598Z
RD-00160,T-054,T-054-DOC-160,"Ticket de estacionamiento, Documento de identificación",True,both,"{jpg,png,pdf}",10,120,160,2025-09-29T11:00:28.893598Z
RD-00161,T-054,T-054-DOC-161,Documento 161,True,both,"{pdf,jpg,png}",10,24,161,2025-09-29T11:00:28.893598Z
RD-00162,T-054,T-054-DOC-162,Documento 162,True,both,"{pdf,jpg,png}",10,24,162,2025-09-29T11:00:28.893598Z
RD-00163,T-055,T-055-DOC-163,"Ticket de estacionamiento original, Comprobante de pago de primera hora",True,both,"{pdf,jpg,png}",10,24,163,2025-09-29T11:00:28.893598Z
RD-00164,T-055,T-055-DOC-164,Documento 164,True,both,"{pdf,jpg,png}",10,24,164,2025-09-29T11:00:28.893598Z
RD-00165,T-055,T-055-DOC-165,Documento 165,True,both,"{pdf,jpg,png}",10,24,165,2025-09-29T11:00:28.893598Z
RD-00166,T-056,T-056-DOC-166,"Ticket de estacionamiento diario, Documento de identificación",True,both,"{jpg,png,pdf}",10,120,166,2025-09-29T11:00:28.893598Z
RD-00167,T-056,T-056-DOC-167,Documento 167,True,both,"{pdf,jpg,png}",10,24,167,2025-09-29T11:00:28.893598Z
RD-00168,T-056,T-056-DOC-168,Documento 168,True,both,"{pdf,jpg,png}",10,24,168,2025-09-29T11:00:28.893598Z
RD-00169,T-057,T-057-DOC-169,"Documentación oficial de la aeronave, Certificado de no comercial, Autorización estatal",True,both,{pdf},10,12,169,2025-09-29T11:00:28.893598Z
RD-00170,T-057,T-057-DOC-170,Documento 170,True,both,"{pdf,jpg,png}",10,24,170,2025-09-29T11:00:28.893598Z
RD-00171,T-057,T-057-DOC-171,Documento 171,True,both,"{pdf,jpg,png}",10,24,171,2025-09-29T11:00:28.893598Z
RD-00172,T-058,T-058-DOC-172,"Documentación oficial gubernamental, Certificado de no comercial, Autorización de gobierno",True,both,{pdf},10,12,172,2025-09-29T11:00:28.893598Z
RD-00173,T-058,T-058-DOC-173,Documento 173,True,both,"{pdf,jpg,png}",10,24,173,2025-09-29T11:00:28.893598Z
RD-00174,T-058,T-058-DOC-174,Documento 174,True,both,"{pdf,jpg,png}",10,24,174,2025-09-29T11:00:28.893598Z
RD-00175,T-059,T-059-DOC-175,"Documentación oficial de servicios republicanos, Certificado de no comercial, Autorización oficial",True,both,{pdf},10,12,175,2025-09-29T11:00:28.893598Z
RD-00176,T-059,T-059-DOC-176,Documento 176,True,both,"{pdf,jpg,png}",10,24,176,2025-09-29T11:00:28.893598Z
RD-00177,T-059,T-059-DOC-177,Documento 177,True,both,"{pdf,jpg,png}",10,24,177,2025-09-29T11:00:28.893598Z
RD-00178,T-060,T-060-DOC-178,"Documentación oficial de aeronave militar/gubernamental, Certificado de país amigo, Autorización de vuelo no comercial",True,both,{pdf},10,12,178,2025-09-29T11:00:28.893598Z
RD-00179,T-060,T-060-DOC-179,Documento 179,True,both,"{pdf,jpg,png}",10,24,179,2025-09-29T11:00:28.893598Z
RD-00180,T-060,T-060-DOC-180,Documento 180,True,both,"{pdf,jpg,png}",10,24,180,2025-09-29T11:00:28.893598Z
RD-00181,T-061,T-061-DOC-181,"Documentación técnica del motor, Historial de mantenimiento, Certificado de fabricante",True,both,{pdf},10,12,181,2025-09-29T11:00:28.893598Z
RD-00182,T-061,T-061-DOC-182,Documento 182,True,both,"{pdf,jpg,png}",10,24,182,2025-09-29T11:00:28.893598Z
RD-00183,T-061,T-061-DOC-183,Documento 183,True,both,"{pdf,jpg,png}",10,24,183,2025-09-29T11:00:28.893598Z
RD-00184,T-062,T-062-DOC-184,"Documentación técnica de la hélice, Historial de mantenimiento, Certificado de fabricante",True,both,{pdf},10,12,184,2025-09-29T11:00:28.893598Z
RD-00185,T-062,T-062-DOC-185,Documento 185,True,both,"{pdf,jpg,png}",10,24,185,2025-09-29T11:00:28.893598Z
RD-00186,T-062,T-062-DOC-186,Documento 186,True,both,"{pdf,jpg,png}",10,24,186,2025-09-29T11:00:28.893598Z
RD-00187,T-063,T-063-DOC-187,"Documentación técnica de la aeronave, Historial de vuelo, Certificado de navegabilidad",True,both,{pdf},10,12,187,2025-09-29T11:00:28.893598Z
RD-00188,T-063,T-063-DOC-188,Documento 188,True,both,"{pdf,jpg,png}",10,24,188,2025-09-29T11:00:28.893598Z
RD-00189,T-063,T-063-DOC-189,Documento 189,True,both,"{pdf,jpg,png}",10,24,189,2025-09-29T11:00:28.893598Z
RD-00190,T-064,T-064-DOC-190,"Informe de reparación, Documentación técnica, Certificado de taller",True,both,{pdf},10,12,190,2025-09-29T11:00:28.893598Z
RD-00191,T-064,T-064-DOC-191,Documento 191,True,both,"{pdf,jpg,png}",10,24,191,2025-09-29T11:00:28.893598Z
